"행정구역별","산업별",2024.1/2,2024.1/2,2024.2/2,2024.2/2
"대구 달성군","건설업 (F) ",9,-,8,-
"대구 달성군","도소매·숙박음식업(G,I)",21,-,22,-
"대구 달성군","전기·운수·통신·금융(D,H,J,K)",13,-,13,-
"대구 달성군","사업·개인·공공서비스 및 기타(E,L~U)",45,-,47,-
"대구 군위군","계",15,-,15,-
"대구 군위군","농업, 임업 및 어업 (A)",7,-,8,-
"대구 군위군","광·제조업(B,C)",1,-,1,-
"대구 군위군","건설업 (F) ",0,-,0,*
"대구 군위군","도소매·숙박음식업(G,I)",1,-,2,-
"대구 군위군","전기·운수·통신·금융(D,H,J,K)",1,*,1,*
"대구 군위군","사업·개인·공공서비스 및 기타(E,L~U)",4,-,4,-
"인천 중구","계",90,-,92,-
"인천 중구","농업, 임업 및 어업 (A)",2,*,2,*
"인천 중구","광·제조업(B,C)",9,-,9,-
"인천 중구","건설업 (F) ",5,-,5,-
"인천 중구","도소매·숙박음식업(G,I)",17,-,17,-
"인천 중구","전기·운수·통신·금융(D,H,J,K)",21,-,21,-
"인천 중구","사업·개인·공공서비스 및 기타(E,L~U)",38,-,39,-
"인천 동구","계",32,-,32,-
"인천 동구","농업, 임업 및 어업 (A)",0,*,0,*
"인천 동구","광·제조업(B,C)",6,-,6,-
"인천 동구","건설업 (F) ",2,-,2,-
"인천 동구","도소매·숙박음식업(G,I)",7,-,6,-
"인천 동구","전기·운수·통신·금융(D,H,J,K)",4,-,5,-
"인천 동구","사업·개인·공공서비스 및 기타(E,L~U)",13,-,13,-
"인천 연수구","계",207,-,217,-
"인천 연수구","농업, 임업 및 어업 (A)",0,*,0,*
"인천 연수구","광·제조업(B,C)",45,-,48,-
"인천 연수구","건설업 (F) ",15,-,16,-
"인천 연수구","도소매·숙박음식업(G,I)",36,-,38,-
"인천 연수구","전기·운수·통신·금융(D,H,J,K)",24,-,24,-
"인천 연수구","사업·개인·공공서비스 및 기타(E,L~U)",87,-,91,-
"인천 남동구","계",261,-,263,-
"인천 남동구","농업, 임업 및 어업 (A)",-,-,-,-
"인천 남동구","광·제조업(B,C)",58,-,58,-
"인천 남동구","건설업 (F) ",23,-,21,-
"인천 남동구","도소매·숙박음식업(G,I)",49,-,48,-
"인천 남동구","전기·운수·통신·금융(D,H,J,K)",33,-,35,-
"인천 남동구","사업·개인·공공서비스 및 기타(E,L~U)",99,-,101,-
"인천 부평구","계",270,-,275,-
"인천 부평구","농업, 임업 및 어업 (A)",1,*,1,*
"인천 부평구","광·제조업(B,C)",51,-,51,-
"인천 부평구","건설업 (F) ",23,-,24,-
"인천 부평구","도소매·숙박음식업(G,I)",52,-,51,-
"인천 부평구","전기·운수·통신·금융(D,H,J,K)",34,-,36,-
"인천 부평구","사업·개인·공공서비스 및 기타(E,L~U)",108,-,113,-
"인천 계양구","계",155,-,156,-
"인천 계양구","농업, 임업 및 어업 (A)",0,*,0,*
"인천 계양구","광·제조업(B,C)",29,-,31,-
"인천 계양구","건설업 (F) ",15,-,14,-
"인천 계양구","도소매·숙박음식업(G,I)",32,-,29,-
"인천 계양구","전기·운수·통신·금융(D,H,J,K)",23,-,25,-
"인천 계양구","사업·개인·공공서비스 및 기타(E,L~U)",55,-,56,-
"인천 서구","계",346,-,353,-
"인천 서구","농업, 임업 및 어업 (A)",0,*,1,*
"인천 서구","광·제조업(B,C)",65,-,63,-
"인천 서구","건설업 (F) ",25,-,27,-
"인천 서구","도소매·숙박음식업(G,I)",62,-,66,-
"인천 서구","전기·운수·통신·금융(D,H,J,K)",59,-,57,-
"인천 서구","사업·개인·공공서비스 및 기타(E,L~U)",137,-,139,-
"인천 미추홀구","계",219,-,229,-
"인천 미추홀구","농업, 임업 및 어업 (A)",1,*,0,*
"인천 미추홀구","광·제조업(B,C)",35,-,36,-
"인천 미추홀구","건설업 (F) ",21,-,20,-
"인천 미추홀구","도소매·숙박음식업(G,I)",46,-,45,-
"인천 미추홀구","전기·운수·통신·금융(D,H,J,K)",30,-,35,-
"인천 미추홀구","사업·개인·공공서비스 및 기타(E,L~U)",88,-,93,-
"인천 강화군","계",40,-,40,-
"인천 강화군","농업, 임업 및 어업 (A)",12,-,12,-
"인천 강화군","광·제조업(B,C)",4,-,4,-
"인천 강화군","건설업 (F) ",2,-,2,-
"인천 강화군","도소매·숙박음식업(G,I)",8,-,9,-
"인천 강화군","전기·운수·통신·금융(D,H,J,K)",2,-,2,-
"인천 강화군","사업·개인·공공서비스 및 기타(E,L~U)",12,-,12,-
"인천 옹진군","계",12,-,11,-
"인천 옹진군","농업, 임업 및 어업 (A)",1,-,1,-
"인천 옹진군","광·제조업(B,C)",0,*,0,*
"인천 옹진군","건설업 (F) ",1,-,1,*
"인천 옹진군","도소매·숙박음식업(G,I)",2,-,3,-
"인천 옹진군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"인천 옹진군","사업·개인·공공서비스 및 기타(E,L~U)",6,-,6,-
"광주 동구","계",58,-,59,-
"광주 동구","농업, 임업 및 어업 (A)",1,*,1,*
"광주 동구","광·제조업(B,C)",3,-,3,-
"광주 동구","건설업 (F) ",6,-,6,-
"광주 동구","도소매·숙박음식업(G,I)",12,-,13,-
"광주 동구","전기·운수·통신·금융(D,H,J,K)",6,-,5,-
"광주 동구","사업·개인·공공서비스 및 기타(E,L~U)",30,-,31,-
"광주 서구","계",150,-,150,-
"광주 서구","농업, 임업 및 어업 (A)",3,-,3,-
"광주 서구","광·제조업(B,C)",16,-,17,-
"광주 서구","건설업 (F) ",15,-,15,-
"광주 서구","도소매·숙박음식업(G,I)",30,-,28,-
"광주 서구","전기·운수·통신·금융(D,H,J,K)",16,-,16,-
"광주 서구","사업·개인·공공서비스 및 기타(E,L~U)",70,-,71,-
"광주 남구","계",110,-,110,-
"광주 남구","농업, 임업 및 어업 (A)",4,*,4,*
"광주 남구","광·제조업(B,C)",8,-,8,-
"광주 남구","건설업 (F) ",9,-,8,-
"광주 남구","도소매·숙박음식업(G,I)",21,-,19,-
"광주 남구","전기·운수·통신·금융(D,H,J,K)",11,-,10,-
"광주 남구","사업·개인·공공서비스 및 기타(E,L~U)",58,-,61,-
"광주 북구","계",228,-,229,-
"광주 북구","농업, 임업 및 어업 (A)",4,-,4,*
"광주 북구","광·제조업(B,C)",25,-,25,-
"광주 북구","건설업 (F) ",22,-,23,-
"광주 북구","도소매·숙박음식업(G,I)",47,-,47,-
"광주 북구","전기·운수·통신·금융(D,H,J,K)",24,-,23,-
"광주 북구","사업·개인·공공서비스 및 기타(E,L~U)",106,-,107,-
"광주 광산구","계",226,-,222,-
"광주 광산구","농업, 임업 및 어업 (A)",7,*,5,*
"광주 광산구","광·제조업(B,C)",51,-,52,-
"광주 광산구","건설업 (F) ",22,-,20,-
"광주 광산구","도소매·숙박음식업(G,I)",37,-,38,-
"광주 광산구","전기·운수·통신·금융(D,H,J,K)",26,-,26,-
"광주 광산구","사업·개인·공공서비스 및 기타(E,L~U)",83,-,82,-
"대전 동구","계",115,-,112,-
"대전 동구","농업, 임업 및 어업 (A)",2,*,2,*
"대전 동구","광·제조업(B,C)",15,-,14,-
"대전 동구","건설업 (F) ",14,-,13,-
